0,total_value
가볍,0.5915194346289752
가복,0.28571428571428575
가브리,0.0
가사,-0.028571428571428525
가성,0.6731084179495579
가스,-0.0955882352941177
가스레인지,0.7
가슴,-0.41358555460017193
가슴골,-0.6666666666666667
가슴둘레,-0.292929292929293
가슴살,0.44565217391304346
가습,0.33047210300429186
가습기,0.6122448979591837
가시,-0.6190476190476191
가실,-0.3333333333333333
가심,-0.24444444444444446
가여,-0.8823529411764706
가열,0.11111111111111116
가영,-0.9047619047619047
가오리,-0.3333333333333333
가요,-0.5793025871766029
가용,-0.2727272727272727
가운,-0.736842105263158
가운데,-0.6194444444444445
가위,-0.5643564356435644
가위질,-0.4883720930232558
가을,0.24750679963735273
가이드,-0.6716417910447761
가이리,-0.3333333333333333
가입,-0.21428571428571425
가장,0.14480198019801982
가장자리,-0.5263157894736843
가재,0.1538461538461538
가전,-0.0625
가전제품,-0.3333333333333333
가정,-0.09273182957393483
가정용,-0.28813559322033894
가정집,-0.4285714285714286
가제,0.5490196078431373
가져,-0.3580246913580247
가져가,-0.4958677685950413
가져갈,-0.04347826086956519
가져갔,-0.6338028169014085
가져다,-0.5053763440860215
가져다주,-0.09433962264150941
가져서,0.3333333333333333
가져오,-0.5172413793103448
가져와,-0.07692307692307687
가져와서,-0.3333333333333333
가져왔,-0.6000000000000001
가졌,0.22222222222222227
가족,0.6162361623616237
가죽,-0.2933333333333333
가지,0.02097902097902099
가지각색,-0.4545454545454546
가지런히,0.5384615384615385
가진,-0.029850746268656747
가질,-0.5
가짜,-0.6974789915966386
가치,-0.719626168224299
가타,0.588235294117647
가타부타,-0.8181818181818181
가품,-0.8846153846153846
가하,-0.21428571428571425
가해,-0.5
각,-0.18613138686131392
각각,-0.20597014925373136
각기,-0.0625
각도,-0.2416107382550336
각보,0.22580645161290325
각오,-0.6226415094339623
각외,0.3508771929824561
각이,-0.15151515151515155
각인,-0.6153846153846154
각자,0.13043478260869562
각종,0.3968253968253968
각지,0.295774647887324
각질,-0.011070110701107028
간,0.0667468430547204
간간,0.6842105263157894
간간이,0.09090909090909088
간간히,0.10714285714285715
간격,-0.5964912280701755
